"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Cheslor Cuthbert","KCR","87","330","9","24","40","1","5.8%","20.3%",".133",".288",".246",".294",".379",".287",".293","74","-2.5","-13.4","-9.1","-1.0","10473"
"Welington Castillo","CHW","72","251","12","19","41","0","6.4%","29.5%",".209",".247",".209",".267",".417",".287",".300","77","-4.8","-12.3","-7.4","-1.0","3256"
"Stevie Wilkerson","BAL","119","361","10","41","35","3","6.1%","29.9%",".158",".300",".225",".286",".383",".286",".253","73","-0.1","-12.4","-11.3","-1.0","16041"
"Ryan O'Hearn","KCR","105","370","14","32","38","0","10.5%","26.8%",".174",".230",".195",".281",".369",".278",".307","68","-1.2","-16.2","-8.0","-1.1","16442"
"Curtis Granderson","MIA","138","363","12","44","34","0","11.3%","27.0%",".174",".220",".183",".281",".356",".275",".306","70","-6.3","-20.4","-2.7","-1.1","4747"
"John Hicks","DET","95","333","13","29","35","1","3.9%","32.7%",".169",".273",".210",".240",".379",".259",".248","57","-3.8","-22.1","-2.4","-1.2","12547"
"Chris Davis","BAL","105","352","12","26","36","0","11.1%","39.5%",".147",".270",".179",".276",".326",".263",".292","58","0.1","-18.9","-6.4","-1.2","9272"
"Travis Shaw","MIL","86","270","7","22","16","0","13.3%","33.0%",".113",".216",".157",".281",".270",".248",".285","47","-0.4","-19.2","-2.1","-1.2","11982"
"Christin Stewart","DET","104","416","10","32","40","0","8.2%","24.8%",".154",".290",".233",".305",".388",".294",".321","80","-3.1","-13.7","-14.8","-1.3","17714"
"Martin Prado","MIA","104","260","2","26","15","0","4.6%","15.8%",".061",".268",".233",".265",".294",".243",".273","49","-2.3","-19.7","-2.1","-1.3","3312"
"Yonder Alonso","- - -","121","335","10","34","37","0","11.6%","20.9%",".147",".224",".199",".296",".346",".277",".305","66","-3.7","-18.4","-7.0","-1.3","2530"
"Isan Diaz","MIA","49","201","5","17","23","0","9.5%","29.4%",".134",".224",".173",".259",".307",".248",".257","53","-2.9","-15.4","-5.3","-1.4","17922"
"Elias Diaz","PIT","101","332","2","31","28","0","6.9%","16.9%",".066",".286",".241",".296",".307",".265",".277","61","-1.0","-18.2","-8.0","-1.5","11680"
"Lewis Brinson","MIA","75","248","0","15","15","1","5.2%","29.8%",".049",".255",".173",".236",".221",".205",".246","25","-1.2","-25.9","0.5","-1.7","14352"
"Jeff Mathis","TEX","88","244","2","17","12","1","6.1%","35.7%",".066",".243",".158",".209",".224",".190",".192","2","-0.7","-31.3","0.9","-2.1","3448"
