"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ildemaro Vargas","- - -","63","222","4","19","23","3","3.6%","10.4%",".129",".279",".263",".299",".392",".302",".255","92","0.5","-1.5","7.1","1.4","13324"
"Austin Barnes","LAD","62","212","8","31","26","2","12.7%","17.5%",".168",".222",".212",".324",".380",".315",".298","104","-2.1","-1.1","7.0","1.4","12158"
"Luis Guillorme","NYM","102","335","2","33","17","1","10.1%","13.7%",".067",".317",".273",".351",".340",".311",".302","106","-6.1","-3.7","5.2","1.3","16451"
"Cavan Biggio","TOR","97","303","6","43","24","2","12.5%","28.1%",".148",".275",".202",".318",".350",".302",".288","97","2.2","1.0","2.1","1.3","19252"
"Isiah Kiner-Falefa","NYY","142","531","4","66","48","22","6.6%","13.6%",".066",".296",".261",".314",".327",".285",".290","85","1.1","-7.8","3.6","1.3","16512"
"Eric Haase","DET","110","351","14","41","44","0","6.8%","27.6%",".189",".316",".254",".305",".443",".322",".302","112","-1.5","3.1","-1.8","1.3","14111"
"Kevin Newman","PIT","78","309","2","31","24","8","5.2%","15.5%",".097",".322",".274",".316",".372",".303",".285","94","3.0","0.7","1.3","1.3","17696"
"Gary Sanchez","MIN","128","471","16","42","61","2","8.5%","28.9%",".172",".257",".205",".282",".377",".290",".321","89","-2.6","-8.3","5.7","1.3","11442"
"Tyler O'Neill","STL","96","383","14","56","58","14","9.9%","26.9%",".165",".277",".228",".308",".392",".307",".331","101","1.4","1.9","-2.5","1.3","15711"
"Ji-Man Choi","TBR","113","419","11","36","52","0","13.8%","29.4%",".154",".320",".233",".341",".388",".322",".337","116","-2.7","4.6","-5.7","1.3","5452"
"C.J. Cron","COL","150","632","29","79","102","0","6.8%","25.9%",".210",".307",".257",".315",".468",".335",".321","101","0.5","1.5","-10.7","1.3","12546"
"Evan Longoria","SFG","89","298","14","31","42","0","9.1%","27.9%",".207",".297",".244",".315",".451",".330",".324","115","-2.3","2.8","-0.8","1.3","9368"
"Joey Wendle","MIA","101","371","3","27","32","12","4.0%","13.5%",".101",".293",".259",".297",".360",".289",".276","87","0.0","-5.6","5.0","1.2","13853"
"Leody Taveras","TEX","99","341","5","39","34","11","6.2%","25.8%",".105",".344",".261",".309",".366",".297",".270","93","2.2","-0.6","1.6","1.2","18900"
"Nicky Lopez","KCR","142","480","0","51","20","13","6.0%","13.1%",".046",".265",".227",".281",".273",".251",".273","57","5.2","-18.2","14.7","1.2","19339"
"Michael Brantley","HOU","64","277","5","28","26","1","11.2%","10.8%",".128",".311",".288",".370",".416",".345",".374","127","-0.7","7.7","-4.9","1.2","4106"
"Oneil Cruz","PIT","87","361","17","45","54","10","7.8%","34.9%",".218",".317",".233",".294",".450",".320",".304","106","2.0","4.5","-5.1","1.2","21711"
"Miguel Rojas","MIA","140","507","6","34","36","9","5.1%","12.0%",".087",".258",".236",".283",".323",".268",".293","73","-4.0","-19.9","14.3","1.2","7802"
"Harold Ramirez","TBR","120","435","6","46","58","3","4.4%","16.6%",".104",".350",".300",".343",".404",".327",".314","119","-2.3","7.1","-9.5","1.2","14387"
"Victor Caratini","MIL","96","314","9","26","34","0","9.9%","21.3%",".143",".228",".199",".300",".342",".289",".309","84","-3.2","-8.9","9.5","1.2","14968"
"Alex Verdugo","BOS","152","644","11","75","74","1","6.5%","13.4%",".125",".309",".280",".328",".405",".319",".329","103","-1.1","0.8","-10.2","1.2","17027"
"Giancarlo Stanton","NYY","110","452","31","53","78","0","11.1%","30.3%",".251",".227",".211",".297",".462",".327",".351","115","-2.6","4.8","-8.2","1.2","4949"
"Omar Narvaez","MIL","84","296","4","21","23","0","9.8%","19.3%",".099",".248",".206",".292",".305",".269",".268","71","-0.3","-10.2","11.3","1.1","13338"
"Ozzie Albies","ATL","64","269","8","36","35","3","5.9%","17.5%",".162",".270",".247",".294",".409",".305",".297","93","1.5","-0.7","2.5","1.1","16556"
"Jose Miranda","MIN","125","483","15","45","66","1","5.8%","18.8%",".158",".307",".268",".325",".426",".329",".317","117","-4.5","4.6","-9.3","1.1","20538"
"Lane Thomas","WSN","146","548","17","62","52","8","7.5%","24.1%",".163",".291",".241",".301",".404",".308",".286","96","-0.6","-3.0","-4.9","1.1","16939"
"Adam Frazier","SEA","156","602","3","61","42","11","7.6%","12.1%",".072",".268",".238",".301",".311",".274",".297","81","-0.2","-13.1","4.4","1.1","15223"
"Kevin Kiermaier","TBR","63","221","7","28","22","6","6.3%","27.6%",".141",".290",".228",".281",".369",".286",".305","90","3.2","0.7","2.6","1.1","11038"
"Patrick Wisdom","CHC","134","534","25","67","66","8","9.9%","34.3%",".220",".274",".207",".298",".426",".316",".295","104","0.6","3.1","-10.8","1.1","13602"
"Wil Myers","SDP","77","286","7","29","41","2","7.3%","30.1%",".138",".357",".261",".315",".398",".311",".288","104","1.2","2.4","-2.2","1.0","10047"
"Carlos Santana","- - -","131","506","19","52","60","0","14.0%","17.4%",".174",".209",".202",".316",".376",".308",".352","102","1.0","2.0","-8.3","1.0","2396"
"J.D. Martinez","BOS","139","596","16","76","62","0","8.7%","24.3%",".174",".345",".274",".341",".448",".343",".349","119","-7.3","5.8","-15.0","1.0","6184"
"Jake Fraley","CIN","68","247","12","33","28","4","10.5%","21.9%",".208",".289",".259",".344",".468",".352",".333","121","1.6","7.6","-6.2","1.0","19260"
"Lourdes Gurriel Jr.","TOR","121","493","5","52","52","3","6.3%","16.8%",".108",".346",".291",".343",".400",".327",".321","114","-4.1","3.8","-9.8","1.0","19238"
"Emmanuel Rivera","- - -","102","359","12","46","40","1","6.4%","23.1%",".176",".275",".233",".292",".409",".306",".310","95","-0.9","-2.7","0.7","1.0","19890"
"Jose Iglesias","COL","118","467","3","48","47","2","3.6%","12.0%",".089",".326",".292",".328",".380",".312",".281","85","-3.3","-11.2","5.1","1.0","10231"
"Tomas Nido","NYM","98","313","3","31","28","0","4.5%","24.3%",".085",".314",".239",".276",".324",".265",".287","74","-7.0","-16.3","14.8","0.9","13755"
"J.D. Davis","- - -","115","365","12","46","35","1","10.7%","33.4%",".170",".360",".248",".340",".418",".333",".353","119","-3.1","5.2","-8.5","0.9","16219"
"Yoan Moncada","CHW","104","433","12","41","51","2","7.4%","26.3%",".141",".265",".212",".273",".353",".275",".289","76","1.3","-10.2","5.3","0.9","17232"
"Adam Duvall","ATL","86","315","12","39","36","0","6.7%","32.1%",".188",".278",".213",".276",".401",".295",".293","87","2.7","-2.2","0.4","0.9","10950"
"Rodolfo Castro","PIT","71","278","11","25","27","5","7.9%","26.6%",".194",".284",".233",".299",".427",".315",".280","103","0.3","1.1","-1.7","0.9","21987"
"Ryan Jeffers","MIN","67","236","7","25","27","0","9.7%","26.3%",".156",".259",".208",".285",".363",".287",".315","87","-1.3","-4.7","5.8","0.9","24618"
"Ramon Laureano","OAK","94","383","13","49","34","11","6.5%","27.2%",".165",".262",".211",".287",".376",".294",".307","96","3.0","1.2","-4.8","0.9","17128"
"Riley Greene","DET","93","418","5","46","42","1","8.6%","28.7%",".109",".354",".253",".321",".362",".303",".316","98","-0.1","-1.1","-3.6","0.9","25976"
"Brandon Lowe","TBR","65","266","8","31","25","1","10.2%","22.9%",".162",".263",".221",".308",".383",".306",".320","104","2.0","3.3","-3.2","0.9","18882"
"Jesus Sanchez","MIA","98","343","13","38","36","1","7.6%","26.8%",".188",".258",".214",".280",".403",".298",".298","93","-1.5","-4.1","1.1","0.9","19913"
"Trey Mancini","- - -","143","587","18","56","63","0","9.0%","23.0%",".152",".286",".239",".319",".391",".312",".327","104","-3.0","-0.4","-10.1","0.9","15149"
"Rowdy Tellez","MIL","153","599","35","67","89","2","10.4%","20.2%",".242",".215",".219",".306",".461",".327",".349","110","-6.6","0.7","-12.9","0.8","15679"
"Keston Hiura","MIL","80","266","14","34","32","5","8.6%","41.7%",".222",".355",".226",".316",".449",".334",".317","115","0.7","5.3","-6.4","0.8","20003"
"Mitch Haniger","SEA","57","247","11","31","34","0","8.1%","26.3%",".183",".293",".246",".308",".429",".319",".328","113","-0.9","2.7","-2.9","0.8","14274"
"Luke Maile","CLE","76","206","3","19","17","0","9.2%","26.2%",".105",".291",".221",".301",".326",".281",".263","81","-1.1","-5.4","5.9","0.7","13355"
"Kyle Isbel","KCR","106","278","5","32","28","9","5.8%","27.0%",".129",".275",".211",".264",".340",".265",".266","67","-0.8","-11.1","9.1","0.7","21614"
"Yonathan Daza","COL","113","408","2","56","34","0","6.4%","14.2%",".083",".347",".301",".349",".384",".323",".308","93","-0.1","-3.2","-4.0","0.7","15794"
"Willi Castro","DET","112","392","8","47","31","9","3.8%","20.9%",".126",".288",".241",".284",".367",".285",".290","86","1.6","-4.7","-1.2","0.7","17338"
"David Fletcher","LAA","61","228","2","20","17","1","3.1%","7.0%",".079",".268",".255",".288",".333",".275",".295","75","-1.5","-7.9","7.0","0.7","17992"
"Orlando Arcia","ATL","68","234","9","25","30","0","9.0%","21.8%",".172",".278",".244",".316",".416",".321",".329","104","-0.1","1.0","-2.5","0.7","13185"
"Aristides Aquino","CIN","80","276","10","24","30","2","6.2%","36.6%",".166",".277",".197",".246",".363",".267",".243","63","1.6","-10.4","7.4","0.7","15482"
"Rafael Ortega","CHC","118","371","7","35","35","12","11.9%","19.9%",".117",".285",".241",".331",".358",".305",".307","96","-3.5","-5.2","-1.1","0.7","10323"
"Tommy Pham","- - -","144","622","17","89","63","8","9.0%","26.8%",".137",".304",".236",".312",".374",".304",".311","89","1.9","-5.6","-8.9","0.6","2967"
"Geraldo Perdomo","ARI","148","500","5","58","40","9","10.0%","20.6%",".067",".243",".195",".285",".262",".253",".269","59","5.4","-18.7","7.9","0.6","22799"
"Joey Bart","SFG","97","291","11","34","25","2","8.9%","38.5%",".149",".326",".215",".296",".364",".294",".296","90","-1.5","-4.8","1.0","0.6","21524"
"Owen Miller","CLE","130","472","6","53","51","2","6.8%","19.7%",".108",".290",".243",".301",".351",".287",".291","85","1.0","-6.8","-2.4","0.6","24655"
"Joey Gallo","- - -","126","410","19","48","47","3","13.7%","39.8%",".197",".219",".160",".280",".357",".286",".295","85","0.5","-6.3","-1.3","0.6","14128"
"Yan Gomes","CHC","86","293","8","23","31","2","2.7%","16.0%",".130",".252",".235",".260",".365",".271",".287","73","-2.0","-11.2","7.0","0.6","9627"
"Aledmys Diaz","HOU","92","327","12","35","38","1","5.5%","16.2%",".161",".256",".243",".287",".403",".301",".308","96","-3.8","-5.2","0.3","0.6","15937"
"Bryan De La Cruz","MIA","115","355","13","38","43","4","5.4%","25.4%",".179",".304",".252",".294",".432",".313",".355","104","-1.2","0.4","-7.0","0.6","19600"
"Jose Azocar","SDP","98","216","0","24","10","5","5.6%","20.4%",".074",".327",".257",".298",".332",".278",".272","81","-1.6","-6.3","4.3","0.5","18821"
"Jorge Soler","MIA","72","306","13","32","34","0","10.1%","29.4%",".193",".256",".207",".295",".400",".305",".322","98","-0.8","-1.4","-3.6","0.5","14221"
"A.J. Pollock","CHW","138","527","14","61","56","3","6.1%","18.6%",".143",".278",".245",".292",".389",".297",".317","92","-1.5","-6.0","-5.6","0.5","9256"
"T.J. Friedl","CIN","72","258","8","33","25","7","7.8%","15.5%",".196",".251",".240",".314",".436",".323",".283","101","0.9","1.3","-4.8","0.5","19522"
"Nick Allen","OAK","100","326","4","31","19","3","5.8%","19.6%",".084",".250",".207",".256",".291",".245",".238","61","0.5","-13.8","8.5","0.5","22277"
"Enrique Hernandez","BOS","93","402","6","48","45","0","8.5%","17.7%",".116",".257",".222",".291",".338",".280",".296","75","-0.7","-12.0","4.2","0.5","10472"
"Nolan Gorman","STL","89","313","14","44","35","1","8.9%","32.9%",".194",".301",".226",".300",".420",".316",".341","107","-0.1","2.4","-8.0","0.5","22263"
"Martin Maldonado","HOU","113","379","15","40","45","0","5.8%","30.6%",".166",".228",".186",".248",".352",".264",".253","70","-3.9","-16.6","9.4","0.5","6887"
"Salvador Perez","KCR","114","473","23","48","76","0","3.8%","23.0%",".211",".285",".254",".292",".465",".324",".326","109","-3.2","1.4","-11.6","0.5","7304"
"Alek Thomas","ARI","113","411","8","45","39","4","5.4%","18.0%",".113",".263",".231",".275",".344",".272",".277","71","1.8","-11.8","2.7","0.5","23792"
"Donovan Solano","CIN","80","304","4","22","24","0","6.3%","20.1%",".101",".349",".284",".339",".385",".319",".315","98","-2.0","-2.6","-3.0","0.5","8623"
"Jorge Alfaro","SDP","82","274","7","25","40","1","4.0%","35.8%",".137",".364",".246",".285",".383",".291",".295","90","0.0","-3.2","-1.4","0.5","12180"
"Brian Serven","COL","62","205","6","19","16","0","6.3%","21.5%",".128",".232",".203",".261",".332",".263",".254","52","-0.9","-12.3","9.9","0.5","19422"
"Cesar Hernandez","WSN","147","617","1","64","34","10","7.3%","18.5%",".070",".309",".248",".311",".318",".283",".290","79","-0.8","-15.8","-0.6","0.5","10556"
"Brian Anderson","MIA","98","383","8","43","28","1","9.7%","26.4%",".124",".291",".222",".311",".346",".293",".309","90","-0.1","-4.5","-4.1","0.5","18289"
"Corey Dickerson","STL","97","297","6","28","36","0","4.0%","16.2%",".132",".301",".267",".300",".399",".303",".292","98","-0.4","-1.2","-4.6","0.4","10762"
"Carson Kelly","ARI","104","354","7","40","35","2","8.2%","20.1%",".123",".247",".211",".282",".334",".275",".288","73","-0.4","-11.4","3.7","0.4","13620"
"Jonathan India","CIN","103","431","10","48","41","3","7.2%","21.8%",".130",".305",".249",".327",".378",".314",".301","95","-1.0","-3.5","-7.2","0.4","21523"
"Matt Reynolds","- - -","93","272","3","31","23","5","9.6%","28.7%",".086",".348",".246",".320",".332",".293",".272","81","0.3","-5.8","0.4","0.4","13788"
"Jesse Winker","SEA","136","547","14","51","53","0","15.4%","18.8%",".125",".251",".219",".344",".344",".313",".345","109","-4.3","1.0","-14.7","0.4","13590"
"Rougned Odor","BAL","135","472","13","49","53","6","6.8%","23.1%",".150",".244",".207",".275",".357",".278",".277","80","1.4","-9.3","-1.9","0.4","12282"
"Albert Almora Jr.","CIN","64","235","5","26","29","3","7.2%","19.6%",".126",".261",".223",".282",".349",".279",".270","71","-3.0","-10.9","6.5","0.4","14109"
"Victor Robles","WSN","132","407","6","42","33","15","4.2%","25.6%",".087",".292",".224",".273",".311",".260",".244","64","2.8","-14.3","3.9","0.3","18363"
"Tyler Naquin","- - -","105","334","11","47","46","4","5.7%","27.8%",".194",".291",".229",".282",".423",".303",".317","93","2.3","-0.5","-7.7","0.3","13359"
"Mitch Garver","TEX","54","215","10","23","24","1","10.7%","24.7%",".197",".228",".207",".298",".404",".308",".319","101","0.4","0.5","-4.4","0.3","15161"
"Andrew McCutchen","MIL","134","580","17","66","69","8","9.8%","21.4%",".148",".278",".237",".316",".384",".309",".325","98","-4.1","-5.3","-11.3","0.3","9847"
"Andrew Velazquez","LAA","125","349","9","37","28","17","4.3%","34.1%",".109",".274",".196",".236",".304",".239",".246","50","4.6","-15.1","6.9","0.3","14196"
"Eric Hosmer","- - -","104","419","8","38","44","0","8.8%","15.3%",".113",".304",".268",".334",".382",".313",".311","104","-5.1","-3.0","-8.2","0.3","3516"
"Luis Gonzalez","SFG","98","350","4","31","36","10","8.6%","21.4%",".106",".316",".254",".323",".360",".302",".268","95","0.6","-1.3","-7.9","0.3","20332"
"Raimel Tapia","TOR","128","433","7","47","52","8","3.7%","18.7%",".114",".315",".265",".292",".380",".293",".286","90","2.0","-2.6","-8.7","0.3","14350"
"LaMonte Wade Jr.","SFG","77","251","8","29","26","1","10.4%","20.3%",".152",".233",".207",".305",".359",".298",".321","93","0.8","-1.4","-4.7","0.2","18126"
"Christian Arroyo","BOS","87","300","6","32","36","5","4.3%","16.3%",".129",".326",".286",".322",".414",".319",".330","102","-3.2","-2.4","-5.2","0.2","16434"
"Mauricio Dubon","- - -","104","265","5","31","24","2","4.9%","11.3%",".099",".221",".214",".252",".313",".248",".272","59","-0.8","-13.2","6.6","0.2","16530"
"Francisco Mejia","TBR","93","299","6","32","31","0","2.3%","21.7%",".138",".292",".242",".264",".381",".279",".262","85","-2.4","-7.3","-0.3","0.2","16403"
"Luke Voit","- - -","135","568","22","55","69","1","9.7%","31.5%",".176",".298",".226",".308",".402",".311",".322","102","-6.2","-4.9","-12.4","0.2","14811"
"Nick Madrigal","CHC","59","228","0","19","7","3","6.1%","11.8%",".033",".286",".249",".305",".282",".267",".283","70","-0.4","-8.2","2.2","0.2","20521"
"Austin Nola","SDP","110","397","4","40","40","2","8.6%","15.1%",".078",".284",".251",".321",".329",".290",".305","89","-0.8","-5.9","-5.8","0.2","15941"
"Jordan Luplow","ARI","83","234","11","26","28","5","10.7%","25.6%",".185",".185",".176",".274",".361",".281",".288","78","0.3","-5.8","-0.5","0.2","16424"
"P.J. Higgins","CHC","74","229","6","23","30","0","9.6%","25.3%",".154",".290",".229",".310",".383",".306",".264","97","-1.2","-2.0","-4.3","0.1","18433"
"Yadier Molina","STL","80","270","5","19","24","2","1.9%","14.8%",".088",".234",".214",".233",".302",".235",".254","51","-4.4","-19.7","12.0","0.1","7007"
"Brett Phillips","- - -","83","225","5","22","15","7","7.1%","41.8%",".104",".233",".144",".217",".249",".213",".220","38","3.8","-11.9","6.0","0.1","14735"
"Charlie Blackmon","COL","135","577","16","60","78","4","5.5%","18.9%",".155",".304",".264",".314",".419",".317",".301","89","1.4","-5.9","-12.3","0.1","7859"
"Gavin Sheets","CHW","124","410","15","34","53","0","6.6%","21.0%",".170",".272",".241",".295",".411",".308",".283","100","-2.6","-2.7","-9.2","0.1","19901"
"Pavin Smith","ARI","75","277","9","24","33","1","10.1%","24.2%",".147",".262",".220",".300",".367",".294",".304","87","0.5","-3.8","-4.4","0.1","19892"
"Paul DeJong","STL","77","237","6","19","25","3","8.9%","33.3%",".129",".213",".157",".245",".286",".241",".267","55","-0.7","-13.0","5.9","0.1","18015"
"Ezequiel Duran","TEX","58","220","5","25","25","4","5.5%","24.5%",".130",".295",".236",".277",".365",".282",".256","82","-0.2","-4.7","-1.6","0.1","23733"
"Nelson Velazquez","CHC","77","206","6","20","26","5","9.2%","31.6%",".168",".281",".205",".286",".373",".291",".305","87","0.1","-3.0","-3.3","0.1","23359"
"Juan Yepez","STL","76","274","12","27","30","0","5.8%","22.3%",".194",".283",".253",".296",".447",".319",".286","109","-1.7","1.2","-9.8","0.1","18400"
"Marwin Gonzalez","NYY","86","207","6","20","18","3","6.8%","26.1%",".136",".222",".185",".255",".321",".257",".282","65","-1.1","-9.2","3.1","0.0","5497"
"Josh Smith","TEX","73","253","2","23","16","4","11.1%","19.8%",".052",".244",".197",".307",".249",".262",".296","68","0.3","-8.9","1.2","0.0","26396"
"Luis Garcia","WSN","93","377","7","29","45","3","2.9%","22.3%",".133",".337",".275",".295",".408",".303",".305","93","-2.5","-5.6","-6.7","0.0","20391"
"Max Stassi","LAA","102","375","9","32","30","0","10.1%","29.9%",".123",".239",".180",".267",".303",".258",".266","63","-2.7","-18.1","6.5","0.0","10059"
"Sergio Alcantara","- - -","93","224","6","26","29","1","5.4%","25.4%",".137",".267",".220",".261",".356",".269",".244","70","-0.1","-7.8","0.5","0.0","16417"
"Brandon Belt","SFG","78","298","8","25","23","1","12.4%","27.2%",".138",".277",".213",".326",".350",".303",".326","96","-1.0","-2.3","-7.5","0.0","10264"
"Ben Gamel","PIT","115","423","9","42","46","5","11.3%","23.2%",".137",".291",".232",".324",".369",".308",".316","97","1.4","0.0","-14.1","0.0","12160"
"Connor Joe","COL","111","467","7","56","28","6","11.8%","20.8%",".121",".296",".238",".338",".359",".314",".311","87","-0.3","-7.4","-8.5","0.0","16572"
"Matt Vierling","PHI","117","357","6","41","32","7","6.4%","19.6%",".105",".290",".246",".297",".351",".285",".327","81","0.5","-7.5","-4.9","0.0","21558"
"Gilberto Celestino","MIN","122","347","2","30","24","4","9.2%","22.2%",".064",".310",".238",".313",".302",".280",".270","82","-4.6","-11.7","0.2","0.0","20233"
"Bobby Dalbec","BOS","117","353","12","40","39","3","8.2%","33.4%",".155",".293",".215",".283",".369",".287",".296","80","1.7","-6.3","-5.6","-0.1","19966"
"Jeimer Candelario","DET","124","467","13","49","50","0","6.0%","23.3%",".145",".257",".217",".272",".361",".277",".292","80","-2.7","-13.2","-2.3","-0.1","13621"
"Chad Pinder","OAK","111","379","12","38","42","2","3.7%","31.1%",".150",".313",".235",".263",".385",".281",".280","86","-0.2","-6.0","-6.8","-0.1","15191"
"Diego Castillo","PIT","96","283","11","28","29","1","4.9%","26.5%",".176",".239",".206",".251",".382",".272",".292","73","-0.4","-9.2","-1.2","-0.1","19906"
"Jackie Bradley Jr.","- - -","132","370","4","30","38","2","6.5%","20.8%",".108",".251",".203",".255",".311",".252",".268","56","-0.7","-18.9","6.2","-0.1","12984"
"Matt Duffy","LAA","77","247","2","14","16","0","6.9%","20.2%",".061",".313",".250",".308",".311",".279",".280","78","-1.8","-7.8","-1.0","-0.1","13836"
"Yadiel Hernandez","WSN","94","327","9","30","41","2","5.8%","22.6%",".141",".326",".269",".312",".410",".315",".310","101","-5.2","-4.7","-7.6","-0.1","19334"
"Alfonso Rivas","CHC","101","287","3","27","25","6","10.1%","30.3%",".072",".344",".235",".322",".307",".285",".281","83","2.0","-3.9","-7.1","-0.1","21560"
"Vimael Machin","OAK","73","253","1","26","13","1","9.9%","18.6%",".067",".270",".220",".300",".287",".268",".301","77","-1.2","-7.7","-1.7","-0.1","17684"
"Adam Engel","CHW","119","260","2","32","17","12","4.2%","29.2%",".086",".317",".224",".269",".310",".256",".246","63","2.1","-8.6","-1.1","-0.1","15082"
"MJ Melendez","KCR","129","534","18","57","62","2","12.4%","24.5%",".176",".258",".217",".313",".393",".310",".332","99","-0.3","-1.1","-17.5","-0.2","22197"
"Akil Baddoo","DET","73","225","2","30","9","9","10.7%","28.4%",".065",".289",".204",".289",".269",".256",".253","65","2.2","-6.6","-2.5","-0.2","22168"
"Randal Grichuk","COL","141","538","19","60","73","4","4.5%","23.6%",".166",".309",".259",".299",".425",".315",".281","88","-1.2","-8.9","-11.1","-0.2","10243"
"Franchy Cordero","BOS","84","275","8","36","29","4","10.2%","33.5%",".178",".313",".219",".300",".397",".304",".313","92","2.6","0.2","-10.9","-0.2","14567"
"Victor Reyes","DET","92","336","3","27","34","2","3.9%","22.9%",".108",".322",".254",".289",".362",".284",".292","85","-0.3","-6.1","-6.7","-0.2","15487"
"Tucker Barnhart","DET","94","308","1","16","16","0","8.1%","24.0%",".046",".296",".221",".287",".267",".253",".244","63","-1.7","-14.6","2.4","-0.2","10200"
"Didi Gregorius","PHI","63","232","1","17","19","1","5.6%","15.5%",".093",".246",".210",".263",".304",".251",".275","58","2.1","-9.3","-1.1","-0.3","6012"
"CJ Abrams","- - -","90","302","2","33","21","7","1.7%","16.6%",".077",".291",".246",".280",".324",".267",".266","71","1.7","-8.5","-4.5","-0.3","25768"
"Jo Adell","LAA","88","285","8","22","27","4","3.9%","37.5%",".149",".338",".224",".264",".373",".278",".251","77","0.8","-6.5","-5.5","-0.3","20220"
"J.J. Bleday","MIA","65","238","5","21","16","4","12.6%","28.2%",".142",".216",".167",".277",".309",".266",".280","72","0.8","-7.1","-3.8","-0.3","26368"
"Robbie Grossman","- - -","129","477","7","40","45","6","11.7%","27.0%",".102",".283",".209",".310",".311",".283",".281","82","-0.2","-9.8","-8.6","-0.3","5254"
"Andrew Knizner","STL","97","293","4","28","25","0","8.9%","21.2%",".085",".268",".215",".301",".300",".275",".280","79","-1.8","-9.0","-4.0","-0.3","19514"
"Jarren Duran","BOS","58","223","3","23","17","7","6.3%","28.3%",".142",".302",".221",".283",".363",".284",".282","78","0.5","-5.1","-5.4","-0.4","24617"
"Harold Castro","DET","120","443","7","37","47","0","3.8%","17.8%",".110",".318",".271",".300",".381",".297",".316","94","-1.6","-4.8","-12.8","-0.4","14691"
"Jesus Aguilar","- - -","129","507","16","39","51","1","5.5%","23.5%",".144",".278",".235",".281",".379",".288",".298","86","-2.8","-10.7","-9.8","-0.4","11342"
"Yasmani Grandal","CHW","99","376","5","15","27","1","12.0%","21.0%",".067",".249",".202",".301",".269",".263",".290","68","-6.2","-19.7","4.1","-0.4","11368"
"Andrew Vaughn","CHW","134","555","17","60","76","0","5.6%","17.3%",".159",".301",".271",".321",".429",".327",".319","113","-3.2","4.9","-26.7","-0.4","26197"
"Garrett Hampson","COL","90","226","2","29","15","12","9.3%","27.9%",".095",".294",".211",".287",".307",".267",".261","55","1.6","-10.3","-1.6","-0.4","19262"
"Mike Moustakas","CIN","78","285","7","30","25","2","8.4%","26.3%",".131",".272",".214",".295",".345",".286",".270","76","-0.5","-8.5","-5.6","-0.5","4892"
"Taylor Walls","TBR","142","466","8","53","33","10","11.2%","25.8%",".113",".221",".172",".268",".285",".252",".270","66","3.2","-14.5","-5.0","-0.5","22458"
"Sheldon Neuse","OAK","89","293","4","25","26","6","6.8%","27.3%",".074",".289",".214",".273",".288",".253",".254","67","1.3","-9.6","-4.8","-0.5","19635"
"Sam Hilliard","COL","70","200","2","26","14","5","11.5%","28.5%",".080",".256",".184",".280",".264",".251",".303","44","1.8","-11.2","-0.7","-0.5","17954"
"Marcell Ozuna","ATL","124","507","23","56","56","2","6.1%","24.1%",".187",".252",".226",".274",".413",".298",".337","89","-2.6","-9.4","-13.0","-0.6","10324"
"Austin Hedges","CLE","105","338","7","26","30","2","7.4%","23.1%",".085",".193",".163",".241",".248",".225",".240","42","-3.6","-25.8","9.6","-0.6","12976"
"Avisail Garcia","MIA","98","380","8","31","35","4","4.5%","28.7%",".092",".298",".224",".266",".317",".258",".281","66","-1.2","-16.1","-2.1","-0.6","5760"
"Calvin Mitchell","PIT","69","232","5","21","17","3","7.8%","22.4%",".123",".276",".226",".286",".349",".281",".292","79","1.1","-4.6","-8.9","-0.6","22169"
"Jared Walsh","LAA","118","454","15","41","44","2","5.9%","30.4%",".158",".281",".215",".269",".374",".278",".280","78","-0.7","-12.2","-7.9","-0.6","18607"
"Jacob Stallings","MIA","114","384","4","25","34","0","7.6%","21.6%",".069",".280",".223",".292",".292",".265",".274","71","-5.3","-18.2","-0.6","-0.6","13723"
"Nick Senzel","CIN","110","420","5","45","25","8","7.1%","18.1%",".075",".276",".231",".296",".306",".272",".299","66","-0.9","-17.5","-2.6","-0.6","19293"
"Michael Chavis","PIT","129","426","14","39","49","1","4.5%","29.6%",".160",".294",".229",".265",".389",".282",".261","80","0.3","-9.7","-10.7","-0.6","17321"
"Frank Schwindel","CHC","75","292","8","23","36","0","6.5%","19.9%",".129",".261",".229",".277",".358",".278",".278","78","-2.5","-10.0","-6.2","-0.7","15351"
"Abraham Toro","SEA","109","352","10","36","35","2","6.3%","18.5%",".139",".198",".185",".239",".324",".246",".284","62","-1.1","-16.3","-1.7","-0.7","19844"
"Darin Ruf","- - -","119","388","11","52","45","2","11.6%","27.1%",".135",".258",".204",".307",".338",".291",".310","89","0.2","-4.7","-15.2","-0.7","9929"
"Nick Castellanos","PHI","136","558","13","56","62","7","5.2%","23.3%",".126",".326",".263",".305",".389",".304",".302","94","-2.8","-6.8","-19.0","-0.7","11737"
"Cooper Hummel","ARI","66","201","3","20","17","4","11.4%","31.8%",".131",".255",".176",".274",".307",".262",".292","65","0.1","-8.1","-6.1","-0.8","19458"
"Maikel Franco","WSN","103","388","9","31","39","1","3.1%","19.3%",".113",".262",".229",".255",".342",".261",".272","64","-3.6","-19.8","-1.2","-0.8","12179"
"Nelson Cruz","WSN","124","507","10","50","64","4","9.7%","23.5%",".103",".295",".234",".313",".337",".292",".320","85","-3.1","-11.8","-13.3","-0.8","2434"
